#Accuracy WinProbability
120 33.141
121 33.141
122 33.141
123 33.141
124 34.186
125 34.186
126 34.186
127 34.186
128 35.301
129 35.301
130 35.301
131 35.301
132 36.401
133 36.401
134 36.401
135 36.401
136 37.512
137 37.535
138 37.535
139 37.535
140 38.614
141 38.614
142 38.614
143 38.614
144 39.787
145 39.787
146 39.787
147 39.787
148 40.932
149 40.932
150 40.932
151 40.932
152 42.064
153 42.064
154 42.064
155 42.064
156 43.192
157 43.192
158 43.192
159 43.192
160 44.341
161 44.366
162 44.366
163 44.366
164 45.486
165 45.486
166 45.486
167 45.486
168 46.611
169 46.611
170 46.611
171 46.611
172 47.785
173 47.785
174 47.785
175 47.785
176 48.944
177 48.944
178 48.944
179 48.944
180 50.14
181 50.14
182 50.14
183 50.14
184 51.295
185 51.295
186 51.195
187 51.195
188 52.303
189 52.303
190 52.303
191 52.303
192 53.485
193 53.485
194 53.485
195 53.485
196 54.54
197 54.54
198 54.54
199 54.54
200 55.731
201 55.731
202 55.731
203 55.731
204 56.88
205 56.88
206 56.88
207 56.88
208 58.121
209 58.121
210 58.121
211 58.121
212 59.155
213 59.155
214 59.155
215 59.155
216 60.204
217 60.204
218 60.204
219 60.204
220 61.302
221 61.302
222 61.302
223 61.302
224 62.343
225 62.343
226 62.343
227 62.343
228 63.464
229 63.464
230 63.464
231 63.464
232 64.553
233 64.553
234 64.553
235 64.553
236 65.548
237 65.548
238 65.577
239 65.577
