#Crit WinProbability
120 32.948
121 33.232
122 33.577
123 33.959
124 34.374
125 34.779
126 35.273
127 35.912
128 36.568
129 37.15
130 37.945
131 38.642
132 39.217
133 39.59
134 39.903
135 40.026
136 40.13
137 40.166
138 40.174
139 40.182
140 40.182
141 40.182
142 40.183
143 40.184
144 40.185
145 40.19
146 40.193
147 40.202
148 40.249
149 40.348
150 40.483
151 40.703
152 41.065
153 41.523
154 42.448
155 43.051
156 43.722
157 44.304
158 44.865
159 45.471
160 46.07
161 46.649
162 47.161
163 47.578
164 47.945
165 48.254
166 48.495
167 48.668
168 48.811
169 48.896
170 48.951
171 49.013
172 49.044
173 49.077
174 49.111
175 49.133
176 49.162
177 49.178
178 49.207
179 49.147
180 49.174
181 49.202
182 49.249
183 49.308
184 49.354
185 49.411
186 49.465
187 49.631
188 49.85
189 50.175
190 50.606
191 51.139
192 51.741
193 52.469
194 53.231
195 54.081
196 54.774
197 55.5
198 56.074
199 56.488
200 56.853
201 57.123
202 57.246
203 57.342
204 57.394
205 57.551
206 57.564
207 57.571
208 57.572
209 57.572
210 57.572
211 57.572
212 57.575
213 57.575
214 57.575
215 57.575
216 57.575
217 57.576
218 57.575
219 57.57
220 57.574
221 57.59
222 57.641
223 57.712
224 57.801
225 58.034
226 58.363
227 58.729
228 59.225
229 59.817
230 60.418
231 61.044
232 61.723
233 62.296
234 62.799
235 63.084
236 63.298
237 63.477
238 63.582
239 63.674
