#Defense WinProbability
120 33.005
121 33.202
122 33.395
123 33.593
124 33.803
125 34.024
126 34.26
127 34.402
128 34.62
129 34.838
130 35.051
131 35.268
132 35.473
133 35.708
134 35.899
135 36.069
136 36.278
137 36.525
138 36.718
139 36.609
140 36.824
141 37.065
142 37.289
143 37.571
144 37.836
145 38.009
146 38.251
147 38.497
148 38.767
149 38.998
150 39.203
151 39.453
152 39.673
153 39.888
154 40.083
155 40.257
156 40.439
157 40.571
158 40.704
159 40.811
160 40.897
161 40.991
162 41.189
163 41.256
164 41.312
165 41.364
166 41.394
167 41.428
168 41.45
169 41.473
170 41.496
171 41.52
172 41.527
173 41.532
174 41.537
175 41.54
176 41.542
177 41.54
178 41.545
179 41.552
180 41.556
181 41.56
182 41.57
183 41.575
184 41.537
185 41.543
186 41.583
187 41.609
188 41.678
189 41.746
190 41.813
191 41.939
192 42.052
193 42.219
194 42.406
195 42.563
196 42.719
197 42.883
198 43.123
199 43.37
200 43.629
201 43.91
202 44.184
203 44.517
204 44.907
205 45.253
206 45.734
207 46.078
208 46.375
209 46.754
210 47.182
211 47.456
212 47.774
213 48.075
214 48.405
215 48.687
216 48.992
217 49.273
218 49.487
219 49.644
220 49.778
221 49.935
222 50.092
223 50.199
224 50.345
225 50.447
226 50.531
227 50.476
228 50.528
229 50.563
230 50.601
231 50.613
232 50.651
233 50.668
234 50.689
235 50.72
236 50.728
237 50.737
238 50.75
239 50.751
