#Evasion WinProbability
120 32.624
121 32.624
122 32.624
123 33.772
124 33.772
125 33.772
126 33.772
127 34.955
128 34.955
129 34.955
130 34.955
131 36.012
132 36.012
133 36.012
134 36.012
135 37.19
136 37.19
137 37.19
138 37.19
139 38.332
140 38.332
141 38.492
142 38.492
143 39.66
144 39.66
145 39.66
146 39.66
147 40.828
148 40.828
149 40.828
150 40.828
151 42.059
152 42.059
153 42.059
154 42.059
155 43.355
156 43.355
157 43.355
158 43.355
159 44.583
160 44.583
161 44.583
162 44.583
163 46.136
164 46.136
165 46.136
166 46.136
167 47.445
168 47.445
169 47.445
170 47.445
171 48.651
172 48.651
173 48.651
174 48.651
175 49.838
176 49.838
177 49.838
178 49.838
179 51.144
180 51.144
181 51.144
182 51.144
183 52.419
184 52.419
185 52.464
186 52.464
187 53.719
188 53.719
189 53.719
190 53.719
191 55.033
192 55.033
193 55.033
194 55.033
195 56.269
196 56.269
197 56.269
198 56.269
199 57.539
200 57.539
201 57.539
202 57.539
203 58.87
204 58.87
205 58.87
206 58.804
207 60.16
208 60.16
209 60.16
210 60.16
211 61.423
212 61.423
213 61.423
214 61.423
215 62.737
216 62.737
217 62.737
218 62.737
219 64.053
220 64.053
221 64.053
222 64.053
223 65.339
224 65.339
225 65.339
226 65.313
227 66.648
228 66.648
229 66.648
230 66.648
231 68.011
232 68.011
233 68.011
234 68.011
235 69.34
236 69.34
237 69.34
238 69.34
239 70.615
