#Life WinProbability
120 33.223
121 34.105
122 35.083
123 36.029
124 36.642
125 37.24
126 37.772
127 38.408
128 39.05
129 39.746
130 40.469
131 41.015
132 41.412
133 41.678
134 42.029
135 42.388
136 42.917
137 43.846
138 44.888
139 45.961
140 47.008
141 47.833
142 48.425
143 48.853
144 49.314
145 49.761
146 50.271
147 50.837
148 51.38
149 51.857
150 52.372
151 52.806
152 53.237
153 53.823
154 54.567
155 55.2
156 56.129
157 56.957
158 57.569
159 58.06
160 58.433
161 58.746
162 59.073
163 59.543
164 60.208
165 60.843
166 61.51
167 62.169
168 62.764
169 63.335
170 63.782
171 64.396
172 65.037
173 65.707
174 66.199
175 66.86
176 67.118
177 67.355
178 67.579
179 67.946
180 68.48
181 69.023
182 69.79
183 70.481
184 71.102
185 71.623
186 72.043
187 72.384
188 72.819
189 73.243
190 73.663
191 74.085
192 74.436
193 74.771
194 75.09
195 75.297
196 75.695
197 76.138
198 76.732
199 77.327
200 77.842
201 78.402
202 78.802
203 79.202
204 79.501
205 79.734
206 79.994
207 80.27
208 80.604
209 80.938
210 81.286
211 81.614
212 81.872
213 82.272
214 82.635
215 83.07
216 83.418
217 83.817
218 84.124
219 84.439
220 84.652
221 84.847
222 85.052
223 85.302
224 85.578
225 85.904
226 86.3
227 86.648
228 86.885
229 87.189
230 87.401
231 87.784
232 88.033
233 88.311
234 88.504
235 88.757
236 88.975
237 89.128
238 89.318
239 89.503
