#Strength WinProbability
120 33.372
121 33.865
122 34.415
123 34.921
124 35.363
125 35.821
126 36.145
127 36.441
128 36.767
129 37.166
130 37.434
131 37.93
132 38.531
133 39.079
134 39.664
135 40.078
136 40.442
137 40.723
138 40.958
139 41.231
140 41.462
141 41.781
142 42.215
143 42.728
144 43.355
145 43.989
146 44.651
147 45.405
148 46.106
149 46.667
150 47.215
151 47.683
152 48.076
153 48.483
154 48.785
155 48.801
156 49.07
157 49.313
158 49.477
159 49.654
160 49.807
161 49.904
162 49.979
163 50.024
164 50.074
165 50.109
166 50.14
167 50.187
168 50.249
169 50.283
170 50.358
171 50.51
172 50.689
173 50.888
174 51.147
175 51.485
176 51.936
177 52.422
178 53.059
179 53.796
180 54.67
181 55.473
182 56.395
183 57.365
184 58.317
185 59.225
186 60.157
187 60.924
188 61.71
189 62.4
190 62.987
191 63.469
192 63.86
193 64.185
194 64.396
195 64.559
196 64.696
197 64.777
198 64.825
199 64.854
200 64.863
201 64.877
202 64.882
203 64.883
204 64.884
205 64.884
206 64.884
207 64.83
208 64.83
209 64.831
210 64.832
211 64.832
212 64.833
213 64.838
214 64.838
215 64.852
216 64.867
217 64.894
218 64.929
219 64.967
220 65.058
221 65.166
222 65.327
223 65.545
224 65.79
225 66.078
226 66.409
227 66.823
228 67.232
229 67.736
230 68.237
231 68.775
232 69.384
233 69.986
234 70.555
235 71
236 71.542
237 72.103
238 72.726
239 73.232
